"","liv","die","rea","des","pas","dur","fre","att","con","det","cry","pla","met","cou","exp","pre","not","arr","cea"
"77",1,1,1,1,1,1,0,1,1,2,1,2,2,2,0,0,0,0,2
"78",2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,0,0,1,2
"79",2,2,1,2,2,2,1,2,2,2,2,1,1,2,2,0,0,0,0
"80",2,2,2,2,2,2,2,2,2,2,2,1,2,0,2,1,2,2,2
"81",2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2
"82",1,2,1,1,1,2,1,1,1,1,2,1,0,1,0,0,0,0,2
"83",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0
"84",1,1,1,1,1,1,0,0,2,1,1,0,2,2,1,0,0,0,2
"85",1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,2
"86",1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,2
"87",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
"88",0,2,1,1,1,0,2,2,2,1,1,1,1,1,1,1,1,1,2
"89",1,2,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,0,1
"90",2,2,2,2,2,1,2,2,1,2,2,0,2,1,1,0,0,2,2
"91",0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1
"92",2,2,1,2,2,1,1,1,1,1,1,1,2,2,1,0,1,1,1
"93",0,1,0,1,0,1,1,1,1,1,2,2,2,2,2,2,1,1,2
"94",1,2,1,2,2,1,1,0,2,2,1,0,0,0,1,0,0,0,2
"95",0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"96",1,1,2,1,2,0,0,1,0,1,2,2,1,2,0,1,2,0,1
"97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,0,0,2
"101",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0
"103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",2,2,2,1,1,2,1,2,0,2,2,1,2,2,0,1,0,1,1
"106",2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1
"108",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",1,2,0,1,1,1,0,1,0,0,2,1,0,1,0,1,2,0,0
"110",1,2,2,2,1,0,0,2,1,2,1,2,1,2,2,2,0,0,2
"111",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",1,1,0,1,1,1,1,1,0,0,2,1,0,1,0,0,2,1,1
"114",1,2,2,2,1,1,1,2,1,1,1,2,1,2,1,1,2,0,1
"115",2,2,1,2,1,1,1,2,1,1,2,1,2,2,1,0,0,0,0
"116",1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,0,0,0,1
"117",1,1,1,2,2,2,1,2,1,2,2,2,2,2,1,1,2,1,1
"118",2,2,2,2,2,1,1,1,1,1,2,0,1,2,1,0,0,0,2
"119",1,1,2,1,1,0,0,1,1,1,2,1,2,2,2,0,0,0,2
"120",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123",2,2,2,2,1,0,0,1,1,2,1,1,1,2,1,0,0,1,1
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",2,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,0,0,2
"126",1,1,1,1,1,0,0,1,0,1,2,0,2,1,0,0,0,0,1
"127",1,1,2,1,0,0,0,1,0,1,0,2,2,2,1,1,2,1,0
"128",2,2,0,1,0,1,0,1,1,1,2,2,2,1,1,0,0,1,0
"129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1
"132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133",0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,2
"134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"135",1,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2
"136",0,1,0,1,1,0,0,1,1,1,2,0,1,1,0,0,2,0,0
"137",0,1,1,1,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0
"138",1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2
"139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140",2,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,2,1,1
"141",2,2,2,2,1,1,1,2,2,1,2,1,2,1,1,1,2,0,1
"142",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143",1,1,1,1,1,2,1,1,1,1,2,0,2,1,1,0,0,0,0
"144",1,1,1,1,1,0,1,0,1,1,2,0,2,1,0,0,1,0,1
"145",2,1,1,1,1,1,2,2,2,1,2,0,2,2,2,2,1,2,1
"146",2,2,2,2,2,1,1,1,1,1,2,1,2,1,1,1,2,0,0
"147",2,2,1,2,1,0,1,2,1,2,2,2,2,2,2,1,0,1,2
"148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149",1,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,2,0,1
"150",0,2,0,1,0,2,0,0,2,0,0,2,2,1,1,0,2,0,2
"151",2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,0,2
"152",1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
"153",2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,0
"154",1,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,2,0,1
"155",1,2,1,2,1,1,1,1,0,0,2,1,0,1,1,0,0,0,1
"156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157",1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,0,0,0,1
