"","liv","die","rea","des","pas","dur","fre","att","con","det","cry","pla","met","cou","exp","pre","not","arr","cea"
"337",1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1
"338",1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2
"339",1,1,2,1,1,2,2,1,1,1,2,1,1,1,0,0,0,0,2
"340",2,2,2,2,0,1,2,2,1,1,2,1,2,1,2,0,2,2,2
"341",1,1,1,1,1,0,0,1,0,1,2,0,2,2,2,0,0,0,1
"342",1,2,1,2,2,2,2,2,1,1,2,1,2,2,2,1,0,0,2
"343",1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1
"344",1,1,1,1,0,1,1,2,1,1,2,0,0,2,0,0,0,0,0
"345",1,1,1,1,2,2,1,1,1,1,2,0,1,1,2,0,1,1,2
"346",1,0,1,2,0,1,0,2,0,2,2,2,2,1,1,1,0,0,1
"347",0,0,1,0,2,0,1,0,0,0,2,0,2,0,0,0,0,0,2
"348",2,2,2,1,0,1,1,2,1,2,2,1,2,2,2,0,0,0,0
"349",2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
"350",1,1,1,1,0,1,1,1,0,2,2,0,1,2,0,1,2,0,2
"351",2,2,2,2,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2
"352",2,2,2,2,2,2,1,2,2,2,2,0,2,2,2,1,0,0,2
"353",1,2,1,2,0,0,1,1,1,1,2,2,1,1,1,2,1,0,0
"354",1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,2,1,0
"355",2,2,2,1,0,1,1,2,1,0,2,0,0,0,1,0,2,0,1
"356",1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,0,0,1
"357",1,2,2,2,1,1,1,1,1,1,2,0,2,1,1,0,0,0,2
"358",0,0,1,1,0,0,0,0,0,0,2,0,2,2,1,1,1,1,0
"359",2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,1,0,2
"360",1,2,2,2,2,1,1,1,0,1,2,1,0,1,0,0,2,2,2
"361",1,2,1,1,1,1,0,2,1,1,1,2,2,2,2,0,1,0,1
"362",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"363",1,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1
"364",1,1,0,2,1,0,0,1,1,0,2,1,0,1,1,1,1,0,2
"365",2,2,2,2,0,1,1,2,1,2,2,2,2,2,2,2,1,1,2
"366",2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,0,2
